TYPE,NAME,LONGITUDE,LATITUDE
Arena,Stoney Creek Arena,-79.76400581,43.2165319
Arena,Valley Park Arena,-79.79798204,43.19284948
Arena,Gateway Ice Centre,-79.69992694,43.22880903
Arena,Wentworth Arenas,-79.94595167,43.24783434
Arena,F.H. Sherman Recreation and Learning Centre Arena,-79.75438831,43.19566112
SplashPad,Highview Park,-79.83266954,43.22930302
SplashPad,Huntington Park (Recreation Centre),-79.82866501,43.22111843
SplashPad,Lisgar Park,-79.83081046,43.21053207
SplashPad,Macassa Park,-79.84677851,43.2237084
SplashPad,Mount Lions Park,-79.84535329,43.20320411
SplashPad,Templemead Park,-79.84483017,43.19663674
SplashPad,Trenholme Park,-79.82724153,43.20163712
SplashPad,Eastmount Park,-79.84836371,43.23624511
SplashPad,Eleanor Park,-79.85555946,43.19828109
SplashPad,Elmar Park,-79.87557712,43.2031897
SplashPad,Rushdale Park,-79.8637904,43.20962041
SplashPad,Gilkson Park,-79.91221678,43.22143822
SplashPad,Gourley Park,-79.9000608,43.21841234
SplashPad,Kennedy East Park,-79.90204047,43.20212037
SplashPad,Mountview Park,-79.92538957,43.2392824
SplashPad,Shawinigan Park,-79.92038585,43.22205106
SplashPad,William McCulloch Park,-79.90761683,43.22908364
SplashPad,Gage Park,-79.82985018,43.24310529
SplashPad,Billy Sherring Park,-79.86516779,43.19913817
SplashPad,Jack C. Beemer Park,-79.85526379,43.25516841
SplashPad,Churchill Park,-79.90340148,43.265184
SplashPad,Lawfield Park,-79.85032289,43.21463454
SplashPad,Fairgrounds Community Park,-79.81280696,43.12404919
SplashPad,Winona Park,-79.64635318,43.20958899
SplashPad,Village Green Park,-79.9758379,43.22486148
SplashPad,Dundas Driving Park,-79.9518138,43.27165345
SplashPad,Henry and Beatrice Warden Park,-79.75593073,43.22820035
SplashPad,Allison Neighbourhood Park,-79.88594915,43.19754682
SplashPad,Fairfield Park,-79.79901002,43.24795538
SplashPad,Hampton Park,-79.83625309,43.22312269
SplashPad,Jerome Neighbourhood Park,-79.87884259,43.21405406
SplashPad,North Central Community Park,-79.84362045,43.26560432
SplashPad,William Schwenger Park,-79.91402449,43.21240103
SplashPad,Myrtle Park,-79.84923224,43.24848407
SplashPad,H.A.A.A. Grounds,-79.88431007,43.25345503
SplashPad,Victoria Park,-79.88295261,43.26377013
SplashPad,Beasley Park,-79.86243805,43.25785759
SplashPad,Carter Park,-79.8601545,43.24865394
SplashPad,Central Park,-79.87342664,43.26395709
SplashPad,Eastwood Park (Arena),-79.85566753,43.27346123
SplashPad,McLaren Park,-79.86400037,43.26077482
SplashPad,Pier 4 Park,-79.86741173,43.27398355
SplashPad,Belview Park,-79.82258432,43.25018016
SplashPad,Lucy Day Park,-79.83358686,43.2577764
SplashPad,Powell Park,-79.8409419,43.25603729
SplashPad,Andy Warburton Memorial Park,-79.80255441,43.24521211
