X,Y,OBJECTID,NAME,ADDRESS,OWNER,PHONE,WARD,COMMUNITY,LONGITUDE,LATITUDE
591431.460599999875,4790743.559599999338,6,Central Park,168 Bay Street North,City of Hamilton,905-546-CITY(2489),2,Hamilton,-79.87342663560435,43.26395709117622
592858.3311,4791818.6192,7,Eastwood Park (Arena),111 Burlington Street East,City of Hamilton,905-546-CITY(2489),2,Hamilton,-79.85566753055342,43.27346122628947
592201.295400000177324,4790400.5073,8,McLaren Park,160 John Street North,City of Hamilton,905-546-CITY(2489),2,Hamilton,-79.86400036593868,43.2607748210533
591904.539200000464916,4791863.6436,9,Pier 4 Park,64 Leander Drive,City of Hamilton,905-546-CITY(2489),2,Hamilton,-79.86741172824391,43.273983548174485
595579.351499999873,4789270.433599999174,10,Belview Park,205 Belmont Avenue,City of Hamilton,905-546-CITY(2489),3,Hamilton,-79.82258432002608,43.250180156491
594674.4183,4790101.513499999419,11,Lucy Day Park,33 Clinton Street,City of Hamilton,905-546-CITY(2489),3,Hamilton,-79.83358685853047,43.25777640448525
594080.103400000371039,4789900.073699999601,12,Powell Park,53 Birch Avenue,City of Hamilton,905-546-CITY(2489),3,Hamilton,-79.84094189893028,43.256037294428424
597213.240799999795854,4788741.80159999989,13,Andy Warburton Memorial Park,199 Tragina Avenue North,City of Hamilton,905-546-CITY(2489),4,Hamilton,-79.80255440575755,43.24521210980176
597179.514299999923,4787890.5543,14,Montgomery Park,1570 Main Street East,City of Hamilton,905-546-CITY(2489),4,Hamilton,-79.8031197947498,43.23755289838903
598539.956799999810755,4787772.9699,15,Roxborough Park,70 Reid Avenue North,City of Hamilton,905-546-CITY(2489),4,Hamilton,-79.7863890155723,43.23631780792564
596708.437800000421703,4789717.731,16,St. Christopher Park,119 McAnulty Boulevard,City of Hamilton,905-546-CITY(2489),4,Hamilton,-79.80859984537541,43.254063067359596
599253.317900000140071,4789315.39499999955,17,Woodward Park,589 Woodward Avenue,City of Hamilton,905-546-CITY(2489),4,Hamilton,-79.77732756329237,43.25011019187663
599351.143699999898672,4785644.048499999568,18,Father Sean O'Sullivan Memorial Park,1141 Greenhill Avenue,City of Hamilton,905-546-CITY(2489),5,Hamilton,-79.77678406986603,43.2170454047056
599158.272199999541044,4786397.6995,19,Glendale Park,255 Rainbow Drive,City of Hamilton,905-546-CITY(2489),5,Hamilton,-79.77902278220449,43.22385565790623
599822.102199999616,4787415.594799999148,20,Sam Manson Park,80 Nash Road North,City of Hamilton,905-546-CITY(2489),5,Hamilton,-79.77066643079442,43.23293189330354
598797.299599999561906,4784780.8932,21,Veevers Park,688 Greenhill Avenue,City of Hamilton,905-546-CITY(2489),5,Hamilton,-79.78375596653792,43.20934735873947
594224.680499999783933,4784880.822899999097,22,Berrisfield Park,125 Birchcliffe Crescent,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.84001855275011,43.210831564152635
593462.9046,4782482.2924,23,Broughton Park East,990 Rymal Road East,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.84980051487504,43.189332394990565
