X,Y,OBJECTID,NAME,WATER_SOURCE,LONGITUDE,LATITUDE
569689.655199999921,4803775.602299999446,1,Valens Conservation Area,Conservation Area,-80.13962987868462,43.383616464181905
579242.989799999631941,4792448.60899999924,2,Christie Conservation Area,Conservation Area,-80.02333844836384,43.2806886368531
594956.427299999631941,4772761.820299999788,3,Binbrook Conservation Area,Conservation Area,-79.83309019953792,43.101632866193725
591339.169700000435114,4791587.0918,4,Bayfront Park,Hamilton Harbour,-79.8744236438152,43.271562542412006
591897.377899999730289,4791827.914799999446,5,Pier 4 Park,Hamilton Harbour,-79.86750592945609,43.27366275931523
598712.612200000323355,4792729.314699999988,6,Beach Boulevard,Lake Ontario,-79.78337487844423,43.28091546802568
600027.362700000405312,4790620.31499999948,7,Van Wagner's,Lake Ontario,-79.76755756083107,43.26175556173955
600942.017799999564886,4789536.3812,8,Confederation Park,Lake Ontario,-79.75648925187743,43.25187542269202
